   lon          lat            geox            geoy        i     j     g 
   194.02347    64.724613       -567450.0       1691650.0     1     6   106 
   194.02553    64.724773       -567350.0       1691650.0     2     6   107 
   194.02760    64.724934       -567250.0       1691650.0     3     6   108 
   194.02966    64.725095       -567150.0       1691650.0     4     6   109 
   194.03173    64.725256       -567050.0       1691650.0     5     6   110 
   194.03380    64.725416       -566950.0       1691650.0     6     6   111 
   194.03586    64.725577       -566850.0       1691650.0     7     6   112 
   194.03793    64.725737       -566750.0       1691650.0     8     6   113 
   194.03999    64.725898       -566650.0       1691650.0     9     6   114 
   194.04206    64.726059       -566550.0       1691650.0    10     6   115 
   194.04412    64.726219       -566450.0       1691650.0    11     6   116 
   194.04619    64.726380       -566350.0       1691650.0    12     6   117 
   194.04825    64.726540       -566250.0       1691650.0    13     6   118 
   194.05032    64.726701       -566150.0       1691650.0    14     6   119 
   194.05238    64.726861       -566050.0       1691650.0    15     6   120 
   194.05445    64.727021       -565950.0       1691650.0    16     6   121 
   194.05651    64.727182       -565850.0       1691650.0    17     6   122 
   194.05858    64.727342       -565750.0       1691650.0    18     6   123 
   194.06065    64.727503       -565650.0       1691650.0    19     6   124 
   194.06271    64.727663       -565550.0       1691650.0    20     6   125 
   194.06478    64.727823       -565450.0       1691650.0    21     6   126 
   194.02309    64.725495       -567450.0       1691750.0     1     7   127 
   194.02516    64.725655       -567350.0       1691750.0     2     7   128 
   194.02722    64.725816       -567250.0       1691750.0     3     7   129 
   194.02929    64.725977       -567150.0       1691750.0     4     7   130 
   194.03135    64.726138       -567050.0       1691750.0     5     7   131 
   194.03342    64.726298       -566950.0       1691750.0     6     7   132 
   194.03548    64.726459       -566850.0       1691750.0     7     7   133 
   194.03755    64.726619       -566750.0       1691750.0     8     7   134 
   194.03962    64.726780       -566650.0       1691750.0     9     7   135 
   194.04168    64.726941       -566550.0       1691750.0    10     7   136 
   194.04375    64.727101       -566450.0       1691750.0    11     7   137 
   194.04581    64.727262       -566350.0       1691750.0    12     7   138 
   194.04788    64.727422       -566250.0       1691750.0    13     7   139 
   194.04994    64.727583       -566150.0       1691750.0    14     7   140 
   194.05201    64.727743       -566050.0       1691750.0    15     7   141 
   194.05407    64.727904       -565950.0       1691750.0    16     7   142 
   194.05614    64.728064       -565850.0       1691750.0    17     7   143 
   194.05820    64.728224       -565750.0       1691750.0    18     7   144 
   194.06027    64.728385       -565650.0       1691750.0    19     7   145 
   194.06234    64.728545       -565550.0       1691750.0    20     7   146 
   194.06440    64.728705       -565450.0       1691750.0    21     7   147 
   194.02272    64.726376       -567450.0       1691850.0     1     8   148 
   194.02478    64.726537       -567350.0       1691850.0     2     8   149 
   194.02685    64.726698       -567250.0       1691850.0     3     8   150 
   194.02891    64.726859       -567150.0       1691850.0     4     8   151 
   194.03098    64.727020       -567050.0       1691850.0     5     8   152 
   194.03304    64.727180       -566950.0       1691850.0     6     8   153 
   194.03511    64.727341       -566850.0       1691850.0     7     8   154 
   194.03717    64.727502       -566750.0       1691850.0     8     8   155 
   194.03924    64.727662       -566650.0       1691850.0     9     8   156 
   194.04130    64.727823       -566550.0       1691850.0    10     8   157 
   194.04337    64.727983       -566450.0       1691850.0    11     8   158 
   194.04544    64.728144       -566350.0       1691850.0    12     8   159 
   194.04750    64.728304       -566250.0       1691850.0    13     8   160 
   194.04957    64.728465       -566150.0       1691850.0    14     8   161 
   194.05163    64.728625       -566050.0       1691850.0    15     8   162 
   194.05370    64.728786       -565950.0       1691850.0    16     8   163 
   194.05576    64.728946       -565850.0       1691850.0    17     8   164 
   194.05783    64.729106       -565750.0       1691850.0    18     8   165 
   194.05989    64.729267       -565650.0       1691850.0    19     8   166 
   194.06196    64.729427       -565550.0       1691850.0    20     8   167 
   194.06403    64.729587       -565450.0       1691850.0    21     8   168 
   194.02234    64.727258       -567450.0       1691950.0     1     9   169 
   194.02441    64.727419       -567350.0       1691950.0     2     9   170 
   194.02647    64.727580       -567250.0       1691950.0     3     9   171 
   194.02854    64.727741       -567150.0       1691950.0     4     9   172 
   194.03060    64.727902       -567050.0       1691950.0     5     9   173 
   194.03267    64.728062       -566950.0       1691950.0     6     9   174 
   194.03473    64.728223       -566850.0       1691950.0     7     9   175 
   194.03680    64.728384       -566750.0       1691950.0     8     9   176 
   194.03886    64.728544       -566650.0       1691950.0     9     9   177 
   194.04093    64.728705       -566550.0       1691950.0    10     9   178 
   194.04299    64.728865       -566450.0       1691950.0    11     9   179 
   194.04506    64.729026       -566350.0       1691950.0    12     9   180 
   194.04713    64.729186       -566250.0       1691950.0    13     9   181 
   194.04919    64.729347       -566150.0       1691950.0    14     9   182 
   194.05126    64.729507       -566050.0       1691950.0    15     9   183 
   194.05332    64.729668       -565950.0       1691950.0    16     9   184 
   194.05539    64.729828       -565850.0       1691950.0    17     9   185 
   194.05745    64.729988       -565750.0       1691950.0    18     9   186 
   194.05952    64.730149       -565650.0       1691950.0    19     9   187 
   194.06158    64.730309       -565550.0       1691950.0    20     9   188 
   194.06365    64.730469       -565450.0       1691950.0    21     9   189 
   194.02196    64.728140       -567450.0       1692050.0     1    10   190 
   194.02403    64.728301       -567350.0       1692050.0     2    10   191 
   194.02609    64.728462       -567250.0       1692050.0     3    10   192 
   194.02816    64.728623       -567150.0       1692050.0     4    10   193 
   194.03022    64.728784       -567050.0       1692050.0     5    10   194 
   194.03229    64.728944       -566950.0       1692050.0     6    10   195 
   194.03436    64.729105       -566850.0       1692050.0     7    10   196 
   194.03642    64.729266       -566750.0       1692050.0     8    10   197 
   194.03849    64.729426       -566650.0       1692050.0     9    10   198 
   194.04055    64.729587       -566550.0       1692050.0    10    10   199 
   194.04262    64.729747       -566450.0       1692050.0    11    10   200 
   194.04468    64.729908       -566350.0       1692050.0    12    10   201 
   194.04675    64.730068       -566250.0       1692050.0    13    10   202 
   194.04881    64.730229       -566150.0       1692050.0    14    10   203 
   194.05088    64.730389       -566050.0       1692050.0    15    10   204 
   194.05295    64.730550       -565950.0       1692050.0    16    10   205 
   194.05501    64.730710       -565850.0       1692050.0    17    10   206 
   194.05708    64.730871       -565750.0       1692050.0    18    10   207 
   194.05914    64.731031       -565650.0       1692050.0    19    10   208 
   194.06121    64.731191       -565550.0       1692050.0    20    10   209 
   194.06328    64.731351       -565450.0       1692050.0    21    10   210 
   194.02159    64.729022       -567450.0       1692150.0     1    11   211 
   194.02365    64.729183       -567350.0       1692150.0     2    11   212 
