   lon          lat            geox            geoy        i     j     g 
   195.16225    65.157913       -506150.0       1730050.0     6     5   106 
   195.16436    65.158058       -506050.0       1730050.0     7     5   107 
   195.16646    65.158204       -505950.0       1730050.0     8     5   108 
   195.16857    65.158350       -505850.0       1730050.0     9     5   109 
   195.17067    65.158495       -505750.0       1730050.0    10     5   110 
   195.17277    65.158641       -505650.0       1730050.0    11     5   111 
   195.17488    65.158787       -505550.0       1730050.0    12     5   112 
   195.17698    65.158932       -505450.0       1730050.0    13     5   113 
   195.17908    65.159078       -505350.0       1730050.0    14     5   114 
   195.18119    65.159223       -505250.0       1730050.0    15     5   115 
   195.18329    65.159369       -505150.0       1730050.0    16     5   116 
   195.18539    65.159514       -505050.0       1730050.0    17     5   117 
   195.18750    65.159660       -504950.0       1730050.0    18     5   118 
   195.18960    65.159805       -504850.0       1730050.0    19     5   119 
   195.19170    65.159950       -504750.0       1730050.0    20     5   120 
   195.19381    65.160096       -504650.0       1730050.0    21     5   121 
   195.19591    65.160241       -504550.0       1730050.0    22     5   122 
   195.19802    65.160386       -504450.0       1730050.0    23     5   123 
   195.20012    65.160532       -504350.0       1730050.0    24     5   124 
   195.20222    65.160677       -504250.0       1730050.0    25     5   125 
   195.15139    65.158069       -506650.0       1730150.0     1     6   126 
   195.15349    65.158214       -506550.0       1730150.0     2     6   127 
   195.15560    65.158360       -506450.0       1730150.0     3     6   128 
   195.15770    65.158506       -506350.0       1730150.0     4     6   129 
   195.15981    65.158652       -506250.0       1730150.0     5     6   130 
   195.16191    65.158798       -506150.0       1730150.0     6     6   131 
   195.16401    65.158944       -506050.0       1730150.0     7     6   132 
   195.16612    65.159089       -505950.0       1730150.0     8     6   133 
   195.16822    65.159235       -505850.0       1730150.0     9     6   134 
   195.17032    65.159381       -505750.0       1730150.0    10     6   135 
   195.17243    65.159526       -505650.0       1730150.0    11     6   136 
   195.17453    65.159672       -505550.0       1730150.0    12     6   137 
   195.17663    65.159817       -505450.0       1730150.0    13     6   138 
   195.17874    65.159963       -505350.0       1730150.0    14     6   139 
   195.18084    65.160109       -505250.0       1730150.0    15     6   140 
   195.18294    65.160254       -505150.0       1730150.0    16     6   141 
   195.18505    65.160400       -505050.0       1730150.0    17     6   142 
   195.18715    65.160545       -504950.0       1730150.0    18     6   143 
   195.18926    65.160690       -504850.0       1730150.0    19     6   144 
   195.19136    65.160836       -504750.0       1730150.0    20     6   145 
   195.19346    65.160981       -504650.0       1730150.0    21     6   146 
   195.19557    65.161126       -504550.0       1730150.0    22     6   147 
   195.19767    65.161272       -504450.0       1730150.0    23     6   148 
   195.19977    65.161417       -504350.0       1730150.0    24     6   149 
   195.20188    65.161562       -504250.0       1730150.0    25     6   150 
   195.15104    65.158954       -506650.0       1730250.0     1     7   151 
   195.15315    65.159100       -506550.0       1730250.0     2     7   152 
   195.15525    65.159246       -506450.0       1730250.0     3     7   153 
   195.15736    65.159391       -506350.0       1730250.0     4     7   154 
   195.15946    65.159537       -506250.0       1730250.0     5     7   155 
   195.16156    65.159683       -506150.0       1730250.0     6     7   156 
   195.16367    65.159829       -506050.0       1730250.0     7     7   157 
   195.16577    65.159975       -505950.0       1730250.0     8     7   158 
   195.16787    65.160120       -505850.0       1730250.0     9     7   159 
   195.16998    65.160266       -505750.0       1730250.0    10     7   160 
   195.17208    65.160412       -505650.0       1730250.0    11     7   161 
   195.17418    65.160557       -505550.0       1730250.0    12     7   162 
   195.17629    65.160703       -505450.0       1730250.0    13     7   163 
   195.17839    65.160848       -505350.0       1730250.0    14     7   164 
   195.18049    65.160994       -505250.0       1730250.0    15     7   165 
   195.18260    65.161139       -505150.0       1730250.0    16     7   166 
   195.18470    65.161285       -505050.0       1730250.0    17     7   167 
   195.18681    65.161430       -504950.0       1730250.0    18     7   168 
   195.18891    65.161576       -504850.0       1730250.0    19     7   169 
   195.19101    65.161721       -504750.0       1730250.0    20     7   170 
   195.19312    65.161866       -504650.0       1730250.0    21     7   171 
   195.19522    65.162012       -504550.0       1730250.0    22     7   172 
   195.19733    65.162157       -504450.0       1730250.0    23     7   173 
   195.19943    65.162302       -504350.0       1730250.0    24     7   174 
   195.20153    65.162448       -504250.0       1730250.0    25     7   175 
   195.15070    65.159839       -506650.0       1730350.0     1     8   176 
   195.15280    65.159985       -506550.0       1730350.0     2     8   177 
   195.15491    65.160131       -506450.0       1730350.0     3     8   178 
   195.15701    65.160277       -506350.0       1730350.0     4     8   179 
   195.15911    65.160422       -506250.0       1730350.0     5     8   180 
   195.16122    65.160568       -506150.0       1730350.0     6     8   181 
   195.16332    65.160714       -506050.0       1730350.0     7     8   182 
   195.16542    65.160860       -505950.0       1730350.0     8     8   183 
   195.16753    65.161005       -505850.0       1730350.0     9     8   184 
   195.16963    65.161151       -505750.0       1730350.0    10     8   185 
   195.17173    65.161297       -505650.0       1730350.0    11     8   186 
   195.17384    65.161442       -505550.0       1730350.0    12     8   187 
   195.17594    65.161588       -505450.0       1730350.0    13     8   188 
   195.17805    65.161734       -505350.0       1730350.0    14     8   189 
   195.18015    65.161879       -505250.0       1730350.0    15     8   190 
   195.18225    65.162025       -505150.0       1730350.0    16     8   191 
   195.18436    65.162170       -505050.0       1730350.0    17     8   192 
   195.18646    65.162316       -504950.0       1730350.0    18     8   193 
   195.18856    65.162461       -504850.0       1730350.0    19     8   194 
   195.19067    65.162606       -504750.0       1730350.0    20     8   195 
   195.19277    65.162752       -504650.0       1730350.0    21     8   196 
   195.19488    65.162897       -504550.0       1730350.0    22     8   197 
   195.19698    65.163042       -504450.0       1730350.0    23     8   198 
   195.19908    65.163188       -504350.0       1730350.0    24     8   199 
   195.20119    65.163333       -504250.0       1730350.0    25     8   200 
   195.15035    65.160724       -506650.0       1730450.0     1     9   201 
   195.15245    65.160870       -506550.0       1730450.0     2     9   202 
   195.15456    65.161016       -506450.0       1730450.0     3     9   203 
   195.15666    65.161162       -506350.0       1730450.0     4     9   204 
   195.15877    65.161308       -506250.0       1730450.0     5     9   205 
   195.16087    65.161454       -506150.0       1730450.0     6     9   206 
   195.16297    65.161599       -506050.0       1730450.0     7     9   207 
   195.16508    65.161745       -505950.0       1730450.0     8     9   208 
   195.16718    65.161891       -505850.0       1730450.0     9     9   209 
   195.16928    65.162036       -505750.0       1730450.0    10     9   210 
   195.17139    65.162182       -505650.0       1730450.0    11     9   211 
   195.17349    65.162328       -505550.0       1730450.0    12     9   212 
   195.17560    65.162473       -505450.0       1730450.0    13     9   213 
   195.17770    65.162619       -505350.0       1730450.0    14     9   214 
   195.17980    65.162764       -505250.0       1730450.0    15     9   215 
   195.18191    65.162910       -505150.0       1730450.0    16     9   216 
   195.18401    65.163055       -505050.0       1730450.0    17     9   217 
   195.18611    65.163201       -504950.0       1730450.0    18     9   218 
   195.18822    65.163346       -504850.0       1730450.0    19     9   219 
   195.19032    65.163492       -504750.0       1730450.0    20     9   220 
   195.19243    65.163637       -504650.0       1730450.0    21     9   221 
   195.19453    65.163782       -504550.0       1730450.0    22     9   222 
   195.19663    65.163928       -504450.0       1730450.0    23     9   223 
