   lon          lat            geox            geoy        i     j     g 
   196.29520    64.867681       -458350.0       1689850.0    42     2   106 
   196.29728    64.867812       -458250.0       1689850.0    43     2   107 
   196.29937    64.867942       -458150.0       1689850.0    44     2   108 
   196.30146    64.868073       -458050.0       1689850.0    45     2   109 
   196.30354    64.868203       -457950.0       1689850.0    46     2   110 
   196.30563    64.868334       -457850.0       1689850.0    47     2   111 
   196.30772    64.868464       -457750.0       1689850.0    48     2   112 
   196.30981    64.868594       -457650.0       1689850.0    49     2   113 
   196.31189    64.868725       -457550.0       1689850.0    50     2   114 
   196.31398    64.868855       -457450.0       1689850.0    51     2   115 
   196.31607    64.868985       -457350.0       1689850.0    52     2   116 
   196.31816    64.869116       -457250.0       1689850.0    53     2   117 
   196.32024    64.869246       -457150.0       1689850.0    54     2   118 
   196.32233    64.869376       -457050.0       1689850.0    55     2   119 
   196.32442    64.869506       -456950.0       1689850.0    56     2   120 
   196.32651    64.869637       -456850.0       1689850.0    57     2   121 
   196.32859    64.869767       -456750.0       1689850.0    58     2   122 
   196.33068    64.869897       -456650.0       1689850.0    59     2   123 
   196.33277    64.870027       -456550.0       1689850.0    60     2   124 
   196.33486    64.870157       -456450.0       1689850.0    61     2   125 
   196.33695    64.870287       -456350.0       1689850.0    62     2   126 
   196.33903    64.870417       -456250.0       1689850.0    63     2   127 
   196.34112    64.870547       -456150.0       1689850.0    64     2   128 
   196.20994    64.861417       -462450.0       1689750.0     1     3   129 
   196.21203    64.861549       -462350.0       1689750.0     2     3   130 
   196.21411    64.861680       -462250.0       1689750.0     3     3   131 
   196.21620    64.861812       -462150.0       1689750.0     4     3   132 
   196.21829    64.861944       -462050.0       1689750.0     5     3   133 
   196.22037    64.862075       -461950.0       1689750.0     6     3   134 
   196.22246    64.862207       -461850.0       1689750.0     7     3   135 
   196.22455    64.862338       -461750.0       1689750.0     8     3   136 
   196.22663    64.862470       -461650.0       1689750.0     9     3   137 
   196.22872    64.862601       -461550.0       1689750.0    10     3   138 
   196.23081    64.862733       -461450.0       1689750.0    11     3   139 
   196.23289    64.862864       -461350.0       1689750.0    12     3   140 
   196.23498    64.862996       -461250.0       1689750.0    13     3   141 
   196.23707    64.863127       -461150.0       1689750.0    14     3   142 
   196.23915    64.863258       -461050.0       1689750.0    15     3   143 
   196.24124    64.863390       -460950.0       1689750.0    16     3   144 
   196.24333    64.863521       -460850.0       1689750.0    17     3   145 
   196.24541    64.863652       -460750.0       1689750.0    18     3   146 
   196.24750    64.863783       -460650.0       1689750.0    19     3   147 
   196.24959    64.863915       -460550.0       1689750.0    20     3   148 
